case_id,misspelled_query,corrected_text,target_product_id,domain,typo_type
T-00001,WJ-A92S,WJ-A952S,281882,running_fitness,delete
T-00002,WJ-A925S,WJ-A952S,281882,running_fitness,transpose
T-00003,MeridianCore OH-1A75X,MeridianCore OH-A175X,11834,consumer_electronics,transpose
T-00004,VdroLink,VeroLink,207871,consumer_electronics,substitute
T-00005,PulseRnu,PulseRun,324853,running_fitness,transpose
T-00006,CobatlVision,CobaltVision,152872,consumer_electronics,transpose
T-00007,S-A03P2,S-A032P,122414,consumer_electronics,transpose
T-00008,PS-s059,PS-A059,428298,home_office,substitute
T-00009,OdbitWave OH-A388,OrbitWave OH-A388,5238,consumer_electronics,substitute
T-00010,L-543,L-A543,63826,consumer_electronics,delete
T-00011,AC-A812S,AC-A182S,177460,consumer_electronics,transpose
T-00012,PulsePeakRB-A870P,PulsePeak RB-A870P,317772,running_fitness,remove_space
T-00013,L-r756S,L-A756S,57230,consumer_electronics,substitute
T-00014,PB-6A81X,PB-A681X,99716,consumer_electronics,transpose
T-00015,MotionActive RM-A827S,MotionActive HRM-A827S,297693,running_fitness,delete
T-00016,Securrity Cameras,Security Cameras,155491,consumer_electronics,duplicate
T-00017,VeroForge OH-577X,VeroForge OH-A577X,10282,consumer_electronics,delete
T-00018,SRR-A165S,SR-A165S,131726,consumer_electronics,duplicate
T-00019,GC-A550S,GC-A505S,186337,consumer_electronics,transpose
T-00020,ForgePeao WS-A160X,ForgePeak WS-A160X,250163,running_fitness,substitute
T-00021,TpailMotion,TrailMotion,257923,running_fitness,substitute
T-00022,OrbiitLink TWE-A458P,OrbitLink TWE-A458P,23183,consumer_electronics,duplicate
T-00023,kwantumCore UC-A470X,QuantumCore UC-A470X,95351,consumer_electronics,phonetic
T-00024,TempoDynamics RS-Ae13,TempoDynamics RS-A913,269854,running_fitness,substitute
T-00025,TrailDynamicsK-A613,TrailDynamics K-A613,313795,running_fitness,remove_space
T-00026,Mekhanical Keyboards,Mechanical Keyboards,78279,consumer_electronics,phonetic
T-00027,StridePeakTRS-A789S,StridePeak TRS-A789S,227174,running_fitness,remove_space
T-00028,PeaakWorks SRS-A940S,PeakWorks SRS-A940S,248708,running_fitness,duplicate
T-00029,OrbitLab1 S-A037,OrbitLabs S-A037,119989,consumer_electronics,substitute
T-00030,SR-A36mX,SR-A365X,131435,consumer_electronics,substitute
T-00031,L-u756S,L-A756S,57230,consumer_electronics,substitute
T-00032,HploLabs,HaloLabs,78279,consumer_electronics,substitute
T-00033,Over-EarHeadphones,Over-Ear Headphones,7954,consumer_electronics,remove_space
T-00034,LumaVision TTWE-A957P,LumaVision TWE-A957P,29421,consumer_electronics,duplicate
T-00035,SumimtOne,SummitOne,339268,running_fitness,transpose
T-00036,StudioMicrophones,Studio Microphones,40162,consumer_electronics,remove_space
T-00037,VeloEnduracne,VeloEndurance,257032,running_fitness,transpose
T-00038,PeakEnduranceRRS-Z248P,PeakEndurance RRS-Z248P,222324,running_fitness,remove_space
T-00039,USs-C Chargers,USB-C Chargers,96224,consumer_electronics,substitute
T-00040,TempoFitK-A501S,TempoFit K-A501S,313280,running_fitness,remove_space
T-00041,PceRun,PaceRun,275189,running_fitness,delete
T-00042,TWE-A9e7P,TWE-A957P,29421,consumer_electronics,substitute
T-00043,Streeaming Capture Cards,Streaming Capture Cards,195455,consumer_electronics,duplicate
T-00044,MWS-A7811S,MWS-A781S,143075,consumer_electronics,duplicate
T-00045,CobaltuAdio,CobaltAudio,208744,consumer_electronics,transpose
T-00046,SummitOOne RRS-A177S,SummitOne RRS-A177S,212888,running_fitness,duplicate
T-00047,OrbiLogic MP-A440,OrbitLogic MP-A440,88949,consumer_electronics,delete
T-00048,SmmitOne,SummitOne,212888,running_fitness,delete
T-00049,FluxVisionMH-A759S,FluxVision MH-A759S,151775,consumer_electronics,remove_space
T-00050,Portable Mon3tors,Portable Monitors,73332,consumer_electronics,substitute
T-00051,NexaaWave,NexaWave,47918,consumer_electronics,duplicate
T-00052,UC-2470X,UC-A470X,95351,consumer_electronics,substitute
T-00053,QuantjmLogic GC-A700,QuantumLogic GC-A700,188471,consumer_electronics,substitute
T-00054,ForgeFitRS-A916X,ForgeFit RS-A916X,268399,running_fitness,remove_space
T-00055,T-A69P0,T-A690P,340336,running_fitness,transpose
T-00056,FluxLogic L-A5c3,FluxLogic L-A543,63826,consumer_electronics,substitute
T-00057,Lptops,Laptops,55581,consumer_electronics,delete
T-00058,Traiil Running Shoes,Trail Running Shoes,231400,running_fitness,duplicate
T-00059,Laptoss,Laptops,56974,consumer_electronics,substitute
T-00060,SttrideDynamics,StrideDynamics,230666,running_fitness,duplicate
T-00061,L-A2257S,L-A257S,56974,consumer_electronics,duplicate
T-00062,Ro-A916X,RS-A916X,268399,running_fitness,substitute
T-00063,RP-A06X,RP-A066X,301888,running_fitness,delete
T-00064,MiniPCs,Mini PCs,86718,consumer_electronics,remove_space
