source_batch,source_filename,output_filename,status,note
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_17 PM (1).png",ho-electric-standing-desks-catalog-3x2.webp,installed,SpaceLiving ESD-M079P; content-verified telescoping legs + control panel
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_17 PM (2).png",ho-fixed-desks-catalog-3x2.webp,installed,"WorkOffice FD-M002X; content-verified solid slab panel legs, no adjustment"
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_18 PM (3).png",ho-corner-desks-catalog-3x2.webp,installed,FormCollective CD-C871S; content-verified L-shaped top
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_20 PM (4).png",ho-compact-desks-catalog-3x2.webp,installed,CalmStudio CD-S068X; content-verified small desk with hutch
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_21 PM (5).png",ho-drafting-tables-catalog-3x2.webp,installed,CraftDesk DT-F365S; content-verified tilted top + pencil ledge
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_22 PM (6).png",ho-acoustic-panels-catalog-3x2.webp,installed,LumaCollective AP-M854P; content-verified grooved felt wall panel
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_23 PM (7).png",ho-desk-dividers-catalog-3x2.webp,installed,QuietWorks DD-S300; ANCHOR; content-verified clamp-mounted desk screen
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_23 PM (8).png",ho-door-seals-catalog-3x2.webp,installed,BalanceSystems DS-S762X Graphite; content-verified graphite extrusion with brush
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_24 PM (9).png",ho-desktop-air-purifiers-catalog-3x2.webp,installed,FrameDesign DAP-P709; content-verified perforated cylinder purifier
chatgpt-2026-08-09-ho-b01,"ChatGPT Image Aug 9, 2026, 07_56_26 PM (10).png",ho-desk-fans-catalog-3x2.webp,installed,StudioCollective DF-R373X; content-verified pedestal desk fan
