source_batch,source_filename,output_filename,status,note
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_24 PM (1).png",rf-cycling-computers-catalog-3x2.webp,installed,AeroEndurance CC-P294X; content-verified rugged bike computer
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_25 PM (2).png",rf-adjustable-dumbbells-catalog-3x2.webp,installed,EnduraOne AD-R285P; content-verified selectorized dumbbell in cradle
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_26 PM (3).png",rf-kettlebells-catalog-3x2.webp,installed,"TempoDynamics K-X215S; ANCHOR; content-verified kettlebell, maroon handle"
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_26 PM (4).png",rf-resistance-bands-catalog-3x2.webp,installed,"TempoAthletics RB-P213; content-verified tube band with handles, distinct from jump rope"
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_27 PM (5).png",rf-pull-up-systems-catalog-3x2.webp,installed,PulseWorks PS-S178; content-verified doorway pull-up bar
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_28 PM (6).png",rf-barbells-plates-catalog-3x2.webp,installed,AtlasEndurance B&P-E800X; content-verified EZ bar with loaded plates
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_30 PM (7).png",rf-hydration-vests-catalog-3x2.webp,installed,FlexAthletics HV-X433X; content-verified running vest with bungee lacing
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_31 PM (8).png",rf-massage-guns-catalog-3x2.webp,installed,CadenceAthletics MG-M879X; content-verified percussive massager
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_31 PM (9).png",rf-recovery-boots-catalog-3x2.webp,installed,TempoSport RB-N008; content-verified compression leg sleeve
chatgpt-2026-08-09-rf-b02,"ChatGPT Image Aug 9, 2026, 08_13_32 PM (10).png",rf-cold-therapy-catalog-3x2.webp,installed,EnduraOne CT-X823; content-verified chiller unit with hose and wrap
